"agency codes",sname,areacode,district,pzoon,fzoon,mark
382087600Y,汐止國小,65000110,汐止區,仁德里、義民里、禮門里、智慧里、大同里、信望里、江北里,"一、復興里【汐止、秀峰國小自由學區】 二、白雲里（1－9鄰）【汐止、白雲、秀峰國小自由學區】 三、八連里（1－4鄰）【汐止、北港國小自由學區】",
382088500Y,秀峰國小,65000110,汐止區,秀峰里、秀山里、福安里,"一、復興里【秀峰、汐止國小自由學區】 二、白雲里（1－9鄰）【秀峰、白雲、汐止國小自由學區】 三、白雲里（10－26鄰）【秀峰、青山國中小國小部自由學區】 四、新昌里（15－30鄰）【秀峰、崇德國小自由學區】","◎青山國中小國小部學區內學齡兒童（文化里、自強里），兄姐已就讀秀峰國小者，為方便家長接送可優先就讀秀峰國小。 ◎紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。"
382088300Y,崇德國小,65000110,汐止區,茄苳里、崇德里、橋東里、建成里(1－18鄰)、城中里、新昌里（1－14、31－35鄰）,"一、新昌里（15－30鄰）【崇德、秀峰國小自由學區】 二、建成里（19－23鄰）【崇德、長安國小自由學區】",
382088000Y,北峰國小,65000110,汐止區,中興里、福德里、康福里、興福里、環河里（6－10鄰）、樟樹里（6－8、10－11鄰）,樟樹里（9鄰）【北峰、樟樹國小自由學區】,
382087900Y,北港國小,65000110,汐止區,拱北里、烘內里、八連里（5－10鄰）,八連里（1－4鄰）【北港、汐止國小自由學區】,
382087700Y,長安國小,65000110,汐止區,鄉長里、長安里、保長里,建成里（19－23鄰）【長安、崇德國小自由學區】,
382087800Y,保長國小,65000110,汐止區,保新里、保安里,,
382088200Y,白雲國小,65000110,汐止區,橫科里、福山里,"一、白雲里（1－9鄰）【白雲、汐止、秀峰國小自由學區】 二、宜興里、東勢里【白雲國小、臺北市舊莊、胡適國小自由學區】 三、臺北市南港區中研里、九如里【白雲國小、臺北市舊莊、胡適、南港國小自由學區】 四、臺北市南港區舊莊里【白雲國小、臺北市舊莊國小自由學區】 五、臺北市南港區新富里【白雲國小、臺北市南港國小自由學區】","開放為全市自由學區。
◎舊莊里於113年於原舊莊里10鄰上新增舊莊里36鄰，維持原學區(舊莊國小及白雲國小共同學區)。"
382088100Y,東山國小,65000110,汐止區,東山里,,開放為全市自由學區。
382088400Y,樟樹國小,65000110,汐止區,忠孝里、山光里、厚德里、樟樹里（1－5、12－14鄰）,樟樹里（9鄰）【樟樹、北峰國小自由學區】,
382088600Y,金龍國小,65000110,汐止區,北峰里、金龍里、湖光里、湖蓮里、湖興里、北山里、環河里（1－5鄰）,"一、長青里【金龍國小、臺北市大湖國小自由學區】 二、忠山里【金龍國小、臺北市東湖國小自由學區】",
382060900X,青山國中小國小部,65000110,汐止區,文化里、自強里,白雲里（10－26鄰）【青山國中小國小部、秀峰國小自由學區】,紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。
382072400Y,萬里國小,65000280,萬里區,萬里里、北基里、龜吼里、中幅里,,
382072500Y,野柳國小,65000280,萬里區,野柳里,,開放為全市自由學區。
382072600Y,大鵬國小,65000280,萬里區,大鵬里、磺潭里、雙興里（9鄰）,,開放為全市自由學區。
382072800Y,崁腳國小,65000280,萬里區,崁腳里、溪底里（1鄰）,,開放為全市自由學區。
382072700Y,大坪國小,65000280,萬里區,溪底里（1鄰除外）、雙興里（9鄰除外）,,開放為全市自由學區。
382072900Y,金山國小,65000270,金山區,三界里、和平里、大同里、豐漁里、磺港里、清泉里（1、2鄰）、六股里（1－5鄰）、金美里（2、7、8、10、14鄰）、美田里（1－23鄰）,六股里6鄰因地理環境特殊，限就讀金山國小或三和國小。,
382084500Y,金美國小,65000270,金山區,五湖里、金美里（1、3－6、9、11－13、15－35鄰）、美田里（24、25鄰）,,
382073100Y,三和國小,65000270,金山區,重和里、兩湖里、六股里（7、8鄰）,六股里第6鄰因地理環境特殊，限就讀三和國小或金山國小。,開放為全市自由學區。
382073000Y,中角國小,65000270,金山區,清泉里（3－10鄰）、西湖里、萬壽里、永興里,,開放為全市自由學區。
382077300Y,新店國小,65000060,新店區,新店里、國校里、張南里、文中里、廣明里、文明里、中興里（15－18鄰）、頂城里（1－10鄰）、直潭里（1－7鄰）、塗潭里（1－3鄰）、粗坑里（1、2、3、9鄰）、太平里,"一、美城里【新店、直潭國小自由學區】 二、青潭里（1－2鄰）【新店、青潭國小自由學區】",
382077700Y,大豐國小,65000060,新店區,明德里、國豐里、信義里、大豐里、江陵里、大鵬里、忠孝里、建國里、百和里、大同里、復興里、仁愛里（13－19鄰）、寶安里（14－39鄰）,中山里、和平里【大豐、中正國小自由學區】,紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。
382081400Y,中正國小,65000060,新店區,新德里、中央里、中正里、中華里、福民里、百忍里、百福里、新生里、福德里,中山里、和平里【中正、大豐國小自由學區】,福德里101學年度起調整為中正國小基本學區。
382083600Y,北新國小,65000060,新店區,五峰里、新安里、忠誠里、寶興里、張北里、寶福里、中興里（1－14鄰）、長春里、寶安里（1－13鄰）、仁愛里（1－12鄰）,美潭里（16－20鄰）【北新、青潭國小自由學區】,
382077800Y,安坑國小,65000060,新店區,下城里、公崙里、德安里（1－17鄰）、頂城里（11－18鄰）、明城里、安昌里、達觀里、柴埕里（25－27鄰除外）,一、柴埕里（25－27鄰）【安坑、新和國小自由學區】二、德安里（18－28鄰）【安坑、達觀國中小國小部自由學區】,
382085400Y,新和國小,65000060,新店區,永安里、安和里、新和里、永平里,柴埕里（25－27鄰）【新和、安坑國小自由學區】,
382077400Y,直潭國小,65000060,新店區,直潭里（8－22鄰）、塗潭里（4－11鄰）、華城里,美城里【直潭、新店國小自由學區】,開放為全市自由學區。
382077500Y,青潭國小,65000060,新店區,青潭里（3－22鄰）、美潭里（1－15鄰）、員潭里,"一、青潭里（1－2鄰）【青潭、新店國小自由學區】 二、美潭里（16－20鄰）【青潭、北新國小自由學區】",
382078000Y,屈尺國小,65000060,新店區,屈尺里、廣興里、粗坑里（1、2、3、9鄰除外）,,開放為全市自由學區。
382078100Y,龜山國小,65000060,新店區,龜山里,,開放為全市自由學區。
382077900Y,雙城國小,65000060,新店區,雙城里、日興里、香坡里,玫瑰里、吉祥里【雙城、達觀國中小國小部自由學區】,
382077600Y,雙峰國小,65000060,新店區,雙坑里,,開放為全市自由學區。
382061200X,達觀國中小國小部,65000060,新店區,小城里,玫瑰里、吉祥里【雙城、達觀國中小國小部自由學區】,
382078200Y,深坑國小,65000180,深坑區,全區,深坑區土庫里【深坑、石碇區石碇、和平國小自由學區】,開放深坑區土庫里為自由學區。
382078300Y,石碇國小,65000190,石碇區,石碇里、潭邊里、烏塗里、彭山里、豐田里（1－5鄰）,深坑區土庫里（石碇、和平、深坑區深坑國小自由學區）,開放為全市自由學區。
382078500Y,永定國小,65000190,石碇區,永定里、中民里、光明里,豐田里（6－7鄰）【永定、石碇國小自由學區】,開放為全市自由學區。
382078400Y,和平國小,65000190,石碇區,隆盛里、豐林里,深坑區土庫里【和平、石碇、深坑區深坑國小自由學區】,開放為全市自由學區。
382078600Y,雲海國小,65000190,石碇區,格頭里、永安里,,開放為全市自由學區。
382078700Y,坪林國小,65000200,坪林區,全區,,開放為全市自由學區。
382061600X,烏來國中小國小部,65000290,烏來區,烏來里、忠治里、孝義里、信賢里,,開放為全市自由學區。
382091100Y,德拉楠民族實小,65000290,烏來區,福山里,,開放為全市自由學區。
382075200Y,瑞柑國小,65000120,瑞芳區,柑坪里,新峰里【瑞柑、瑞芳國小自由學區】,開放為全市自由學區。
382075300Y,瑞芳國小,65000120,瑞芳區,龍興里、龍川里、爪峰里、東和里、龍潭里（9－13鄰）,"一、新峰里【瑞芳、瑞柑國小自由學區】 二、龍鎮里（1－4鄰）、龍安里（10－11鄰）【瑞芳、義方國小自由學區】 三、碩仁里【瑞芳、猴硐國小自由學區】 四、傑魚里（5－7鄰）【瑞芳、瑞亭國小自由學區】",
382082400Y,義方國小,65000120,瑞芳區,龍山里、龍潭里（1－8鄰）、龍鎮里（5－15鄰）、龍安里（1－9鄰）,龍鎮里（1－4鄰）、龍安里（10－11鄰）【義方、瑞芳國小自由學區】,開放為全市自由學區。
382091200Y,猴硐-蒙特梭利實小,65000120,瑞芳區,猴硐里、光復里、弓橋里,碩仁里【猴硐、瑞芳國小自由學區】,開放為全市自由學區。
382075500Y,九份國小,65000120,瑞芳區,福住里、崇文里、基山里、頌德里、永慶里,,開放為全市自由學區。
382075600Y,瓜山國小,65000120,瑞芳區,新山里、銅山里、石山里、瓜山里,,開放為全市自由學區。
382075700Y,濂洞國小,65000120,瑞芳區,濂新里、濂洞里,,開放為全市自由學區。
382076000Y,鼻頭國小,65000120,瑞芳區,鼻頭里、南雅里,,開放為全市自由學區。
382075400Y,瑞濱國小,65000120,瑞芳區,海濱里、瑞濱里、深澳里,,開放為全市自由學區。
382075900Y,吉慶國小,65000120,瑞芳區,吉慶里、吉安里、上天里（7－12鄰）,上天里（7－8鄰）【吉慶、瑞亭國小自由學區】,
382075800Y,瑞亭國小,65000120,瑞芳區,傑魚里（1－4、8－10鄰）、上天里（1－8鄰）,"一、上天里（7－8鄰）【瑞亭、吉慶國小自由學區】 二、傑魚里（5－7鄰）【瑞亭、瑞芳國小自由學區】","◎開放為全市自由學區。 ◎傑魚里（8－10鄰）調整為瑞亭國小基本學區。"
382076100Y,雙溪國小,65000250,雙溪區,共和里、魚行里、新基里、平林里、雙溪里、泰平里、三港里、牡丹里（1－6、23－26鄰）,,開放為全市自由學區。
382076300Y,上林國小,65000250,雙溪區,上林里,,開放為全市自由學區。
382076200Y,柑林國小,65000250,雙溪區,外柑里、長源里,,開放為全市自由學區。
382076400Y,牡丹國小,65000250,雙溪區,牡丹里（7－22、27－38鄰）、三貂里,,開放為全市自由學區。
382076500Y,貢寮國小,65000260,貢寮區,貢寮里、雙玉里、龍崗里、龍門里、吉林里,,開放為全市自由學區。
382076800Y,和美國小,65000260,貢寮區,和美里,,開放為全市自由學區。
382076700Y,澳底國小,65000260,貢寮區,真理里、仁里里、美豐里,,開放為全市自由學區。
382076600Y,福隆國小,65000260,貢寮區,福隆里,,開放為全市自由學區。
382076900Y,福連國小,65000260,貢寮區,福連里,,開放為全市自由學區。
382077200Y,十分國小,65000240,平溪區,望古里（3－8鄰）、南山里、平湖里、新寮里、十分里,,開放為全市自由學區。
382077000Y,平溪國小,65000240,平溪區,石底里、平溪里、嶺腳里、東勢里、望古里（1－2鄰）,,開放為全市自由學區。
382077100Y,菁桐國小,65000240,平溪區,薯榔里、菁桐里、白石里,,開放為全市自由學區。
382073200Y,淡水國小,65000100,淡水區,清文里、協元里、長庚里、草東里、永吉里、北投里（12鄰）、中興里（6－7、11－17鄰）,"一、新義里（1－7鄰）【淡水、文化、新興國小自由學區】 二、中興里（1－5、8－10、18鄰）【淡水、鄧公國小自由學區】 三、北投里（5－8鄰）【淡水、水源國小自由學區】 四、水碓里、正德里、北新里（1、10－16鄰）【淡水、文化國小自由學區】 五、北新里（2－9、17－20鄰）【淡水、文化、鄧公國小自由學區】 六、北投里（13－15鄰）【淡水、水源、鄧公國小自由學區】 七、北投里（4、9－11、20－22鄰）【淡水、新市國小自由學區】","一、新增北投里（4、9－11、20－22鄰）為淡水、新市國小自由學區。 二、北投里（13－15鄰）調整為淡水、水源、鄧公國小自由學區。 "
382090800Y,淡海國小,65000100,淡水區,"崁頂里7、12、13、14、15、18、19、20 鄰","一、崁頂里 5 鄰【淡海、新市國小自由學區】二、沙崙里8 鄰【淡海、天生國小自由學區】三、崁頂里6 鄰、崁頂里10鄰(新市六路一段以南)【淡海、育英國小自由學區】","◎112學年度開始招生。◎崁頂里10 鄰(新市六路一段以南)於崁頂里分里調整前，變更為育英國小、淡海國小自由學區，作為過渡方案。"
382084600Y,鄧公國小,65000100,淡水區,幸福里、鄧公里、學府里,"一、竿蓁里【鄧公、竹圍、坪頂國小自由學區】 二、北新里（2－9、17－20鄰）【鄧公、淡水、文化國小自由學區】 三、中興里（1－5、8－10、18鄰）【鄧公、淡水國小自由學區】 四、樹興里（9－12鄰）【鄧公、坪頂國小自由學區】 五、北投里（13－15鄰）【鄧公、淡水、水源國小自由學區】",北投里（13－15鄰）調整為淡水、水源、鄧公國小自由學區。
382085500Y,新興國小,65000100,淡水區,新義里（8－14鄰）、新興里、新春里、新民里（3－12鄰）,"一、新義里（1－7鄰）【新興、淡水、文化國小自由學區】 二、新民里（1－2鄰）【新興、文化國小自由學區】 三、崁頂里（3鄰）【新興、新市國小自由學區】",原崁頂里學區因新市國小增設調整為3鄰為新興、新市國小自由學區。
382073400Y,文化國小,65000100,淡水區,民安里、新生里、文化里,"一、水碓里、正德里、北新里（1、10－16鄰）【文化、淡水國小自由學區】 二、北新里（2－9、17－20鄰）【文化、淡水、鄧公國小自由學區】 三、新義里（1－7鄰）【文化、淡水、新興國小自由學區】 四、新民里（1－2鄰）【文化、新興國小自由學區】",
382073300Y,育英國小,65000100,淡水區,埤島里（3－13鄰）、崁頂里（6－15、20鄰）,"一、崁頂里（2、4、17鄰）、埤島里（1－2鄰）【育英、新市國小自由學區】 二、忠山里（1－2、7－8鄰）【育英、忠山、興仁國小自由學區】 三、義山里（1－3、9－11鄰）【育英、興仁國小自由學區】","◎ 崁頂里第1、4、5、13鄰於111年1月3日通過鄰編組調整，第1鄰劃分為第1鄰及第16鄰；第4鄰劃分為第4鄰及第17鄰；第5鄰劃分為第5鄰、第18鄰及第19鄰；第13鄰劃分為第13鄰及第20鄰。
◎崁頂里10 鄰(新市六路一段以南)於崁頂里分里調整前，變更為育英國小、淡海國小自由學區，作為過渡方案。"
382073700Y,興仁國小,65000100,淡水區,興仁里、賢孝里（4－7鄰）、義山里（4－8、12－19鄰）、蕃薯里（7－10鄰）,"一、忠山里（1－2、7－8鄰）【興仁、忠山、育英國小自由學區】 二、蕃薯里（5－6鄰）【興仁、中泰國小自由學區】 三、義山里（1－3、9－11鄰）【興仁、育英國小自由學區】",
382090200Y,新市國小,65000100,淡水區,北投里1－3、16－19鄰、崁頂里(1、5、16、18、19鄰),"一、崁頂里（2、4、17鄰）、埤島里（1－2鄰）【新市、育英國小自由學區】 二、北投里（4、9－11、20－22鄰）【新市、淡水國小自由學區】 三、崁頂里（3鄰）【新市、新興國小自由學區】","◎ 崁頂里第1、4、5、13鄰於111年1月3日通過鄰編組調整，第1鄰劃分為第1鄰及第16鄰；第4鄰劃分為第4鄰及第17鄰；第5鄰劃分為第5鄰、第18鄰及第19鄰；第13鄰劃分為第13鄰及第20鄰。"
382073800Y,忠山國小,65000100,淡水區,忠山里（3－6、9－10鄰）、忠寮里（10－11鄰）,"一、忠山里（1－2、7－8鄰）【忠山、育英、興仁國小自由學區】 二、忠寮里（8－9鄰）【忠山、水源國小自由學區】",開放為全市自由學區。
382073600Y,水源國小,65000100,淡水區,水源里、忠寮里（1－7、12－13鄰）,"一、北投里5－8鄰【水源、淡水國小自由學區】 二、樹興里（1－2鄰）【水源、坪頂國小自由學區】 三、忠寮里（8－9鄰）【水源、忠山國小自由學區】 四、北投里（13－15鄰）【水源、淡水、鄧公國小自由學區】","一、開放為全市自由學區。 二、北投里（13－15鄰）調整為水源、淡水、鄧公國小自由學區。"
382074100Y,坪頂國小,65000100,淡水區,坪頂里、樹興里（3－8鄰）,"一、竿蓁里【坪頂、鄧公、竹圍國小自由學區】 二、樹興里（1－2鄰）【坪頂、水源國小自由學區】 三、樹興里（9－12鄰）【坪頂、鄧公國小自由學區】",開放為全市自由學區。
382073900Y,屯山國小,65000100,淡水區,屯山里、賢孝里（1－3、8、10－14鄰）,"一、中和里（1鄰）【屯山、中泰國小自由學區】 二、三芝區後厝里【屯山、三芝區三芝國小自由學區】",
382074000Y,中泰國小,65000100,淡水區,中和里（2－11鄰）、賢孝里（9鄰）、蕃薯里（1－4鄰）,"一、中和里（1鄰）【中泰、屯山國小自由學區】 二、蕃薯里（5－6鄰）【中泰、興仁國小自由學區】",開放為全市自由學區。
382073500Y,天生國小,65000100,淡水區,油車里、沙崙里、大庄里,,
382074200Y,竹圍國小,65000100,淡水區,民生里、竹圍里、民權里、八勢里,"一、竿蓁里【竹圍、鄧公、坪頂國小自由學區】 二、福德里【竹圍國小、竹圍國小自強分校、臺北市關渡國小自由學區】",
382074300Y,石門國小,65000220,石門區,石門里、尖鹿里、山溪里,,開放為全市自由學區。
382074500Y,老梅國小,65000220,石門區,德茂里、富基里、老梅里,,開放為全市自由學區。
382074400Y,乾華國小,65000220,石門區,茂林里、草里里、乾華里,,開放為全市自由學區。
382074600Y,三芝國小,65000210,三芝區,八賢里、埔頭里、埔坪里、古庄里、新庄里、茂長里、錫板里、後厝里、福德里,"一、後厝里【三芝、淡水區屯山國小自由學區】 二、圓山里【三芝、興華國小自由學區】",
382074800Y,興華國小,65000210,三芝區,興華里、店子里,圓山里【興華、三芝國小自由學區】,開放為全市自由學區。
382074700Y,橫山國小,65000210,三芝區,橫山里、圓山里（6、7鄰）,,開放為全市自由學區。
382079300Y,三重國小,65000020,三重區,崇德里、奕壽里、介壽里、三安里、龍門里、秀江里（1－3、8－13鄰）、長安里、大德里、開元里、尚德里（1－5、16、21－29鄰）、安慶里（1－6鄰）,"一、安慶里有兄姐在修德國小就讀者，可選擇修德國小就讀。 二、雙園里【三重、正義國小自由學區】 三、秀江里（4－7、14、15鄰）【三重、光榮國小自由學區】 四、瑞德里【三重、光榮國小自由學區】 ",
382079800Y,興穀國小,65000020,三重區,五谷里、谷王里、德厚里,中興里、頂崁里（即中興北街臨近新莊區化成路）【興穀、新莊區頭前國小自由學區】,開放為三重區全區自由學區。
382079600Y,正義國小,65000020,三重區,正安里、正義里、正德里、重新里、光華里、中央里、文化里、錦安里、錦通里、長生里、大園里,"一、雙園里【正義、三重國小自由學區】 二、中山里、自強里【正義、修德國小自由學區】",
382079900Y,二重國小,65000020,三重區,大有里、博愛里、二重里、田心里、福田里、光田里、光陽里、田安里（中華路以西部分16－24、33－42鄰）,,
382084800Y,重陽國小,65000020,三重區,田中里、三民里、六福里、永發里、田安里（中華路以東部分1－15、25－32鄰）,"一、培德里（17－24鄰）【重陽、厚德國小自由學區】 二、錦田里【重陽、修德國小自由學區】",
382079400Y,厚德國小,65000020,三重區,"福安里、厚德里、維德里、尚德里（6－15、17－20鄰）、信安里、永德里、 立德里、永煇里、六合里（1－10鄰）、培德里（1－16鄰）","一、培德里（17－24鄰）【厚德、重陽國小自由學區】 六合里（11－25鄰）【厚德、修德國小自由學區】，六合里（1－10鄰）有兄姊在修德國小就讀者，可選擇修德國小就讀。 永吉里【厚德、永福國小自由學區】  永盛里、永安里【厚德、永福、碧華國小自由學區】 福隆里【碧華、永福、厚德國小自由學區】",
382082500Y,永福國小,65000020,三重區,永福里、永清里、永順里、永豐里,"一、永吉里【永福、厚德國小自由學區】 二、永盛里、永安里 【永福、厚德、碧華國小自由學區】 三、福隆里【碧華、永福、厚德國小自由學區】",
382081100Y,碧華國小,65000020,三重區,碧華里、慈化里、慈祐里、富福里、慈生里、慈惠里、慈愛里、溪美里、慈福里、福樂里、仁華里,永盛里、永安里、福隆里【碧華、厚德、永福國小自由學區】,
382081200Y,光榮國小,65000020,三重區,龍濱里、錦江里、長江里、長福里、承德里、順德里、萬壽里、長泰里、長元里,"一、瑞德里【光榮、三重國小自由學區】 二、秀江里（4－7、14、15鄰）【光榮、三重國小自由學區】",
382084700Y,五華國小,65000020,三重區,富貴里、富華里、五華里、仁忠里、五常里、五福里、五順里,,
382079700Y,修德國小,65000020,三重區,幸福里、重陽里、國隆里、民生里、安慶里（7－16鄰）,"一、中山里、自強里【修德、正義國小自由學區】 二、錦田里【修德、重陽國小自由學區】 三、六合里（11－25鄰）【修德、厚德國小自由學區】，六合里（1－10鄰）有兄姊在修德國小就讀者，可選擇修德國小就讀。 四、過田里【修德、集美國小自由學區】 五、安慶里有兄姊在修德國小就讀者，可選擇修德國小就讀。",
382080900Y,光興國小,65000020,三重區,仁德里、光榮里、光輝里、福星里、福利里、永興里、清和里、忠孝里、仁義里、同慶里,光正里、中正里【集美、三光、光興國小自由學區】,"開放為三重區全區自由學區。
◎ 111學年度起取消三重區全區自由學區，倘有兄姐現就讀光興國小，得提出申請隨兄姐就讀。"
382079500Y,三光國小,65000020,三重區,同安里、大同里、平和里、中民里、大安里、吉利里、光明里（1－3鄰）,"一、菜寮里、永春      里【三光、集     美國小自由學    區】 光正里、中正 里【集美、三光、光興國小自由學區】",開放為三重區全區自由學區。
382086500Y,集美國小,65000020,三重區,成功里、福德里、福民里、光明里（4－30鄰）、重明里、福祉里,"一、過田里【集美、修德國小自由學區】 二、菜寮里、永春里【集美、三光國小自由學區】  三、光正里、中正里【集美、三光、光興國小自由學區】",
382087300Y,成功國小,65000140,蘆洲區,成功里、忠義里、長安里、延平里、九芎里、永康里、永德里,"一、永安里【成功、蘆洲國小自由學區】 二、永樂里（20－27鄰）、正義里（7、15－17鄰）【成功、忠義國小自由學區】",紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。
382087100Y,蘆洲國小,65000140,蘆洲區,中原里（9－24鄰）、光明里（15鄰除外）、保和里、仁復里、得勝里、光華里、中華里、中路里、得仁里、樹德里、民和里,"一、永安里【蘆洲、成功國小自由學區】 二、溪墘里（13－15鄰）【蘆洲、鷺江國小自由學區】 三、保佑里、光明里（15鄰）【蘆洲、忠義國小自由學區】",
382087200Y,鷺江國小,65000140,蘆洲區,樓厝里、玉清里、信義里、福安里、仁德里、仁義里、恆德里、鷺江里、溪墘里（1－12鄰）,溪墘里（13－15鄰）【鷺江、蘆洲國小自由學區】,
382087400Y,仁愛國小,65000140,蘆洲區,保新里（1－8鄰）、水河里、水湳里、忠孝里、仁愛里、復興里,,
382089900Y,忠義國小,65000140,蘆洲區,"南港里、永樂里（1－19鄰）、正義里（除7、15 －17鄰）、中原里（1－8、25－29鄰）、保新里（9－12鄰）","一、保佑里、光明里（15鄰）【忠義、蘆洲國小自由學區】 二、永樂里（20－27鄰）、正義里（7、15－17鄰）【忠義、成功國小自由學區】",紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。
382078800Y,新莊國小,65000050,新莊區,立人里、思源里（1、4、20鄰）、文衡里（1、4－8、10－16鄰）、文聖里（2－17鄰）、興漢里、榮和里、文德里、文明里、恆安里、立德里（1－8鄰）,"一、中美里、思賢里（2鄰）、思源里(3、19鄰)【新莊、思賢國小自由學區】 二、文衡里（2－3、9鄰）【新莊、豐年國小自由學區】 三、文聖里（1、18－29鄰）【新莊、新泰國小自由學區】",◎思源里3、19鄰調整為思賢、新莊國小自由學區。
382081300Y,中港國小,65000050,新莊區,中泰里、立志里、立基里、立廷里（16、19－40鄰除外）、中宏里、中全里、立功里、中和里、中港里（8－10鄰）、中誠里（1－4、6－15鄰）,中港里（11－14、21－25鄰）、中誠里（5鄰）【中港、榮富國小自由學區】,紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。
382083700Y,榮富國小,65000050,新莊區,中信里、中平里、中港里（1－7、15－20、26－28鄰）,"一、中港里（11－14、21－25鄰、中誠里5鄰）【榮富、中港國小自由學區】 二、中隆里（1－20鄰）、立廷里（16、19－40鄰）【榮富、中信國小自由學區】",立廷里（16、19－40鄰）變更為【中信、榮富國小自由學區】
382085600Y,中信國小,65000050,新莊區,中原里、中隆里（21－27鄰）,中隆里（1－20鄰）、立廷里（16、19－40鄰）【中信、榮富國小自由學區】,"◎開放為新莊區全區自由學區。 
◎111學年度起取消新莊區全區自由學區，倘有兄姐現就讀中信國小，得提出申請隨兄姐就讀。
◎立廷里（16、19－40鄰）變更為【中信、榮富國小自由學區】"
382082100Y,思賢國小,65000050,新莊區,仁義里、自信里、思源里（2、5－18、21－22鄰）、思賢里（2鄰除外）、仁愛里、自強里、自立里、中華里,中美里、思賢里（2鄰）、思源里(3、19鄰)【思賢、新莊國小自由學區】,◎思源里3、19鄰調整為思賢、新莊國小自由學區。
382083300Y,昌隆國小,65000050,新莊區,昌明里（1－4、9－11、14、16－17鄰）、昌信里（1－3、7鄰）、和平里1－14鄰）、信義里、昌隆里、幸福里,昌明里（5－8、12、13、15、18鄰）、昌信里（4－6鄰）、和平里15－21鄰）【昌隆、昌平國小自由學區】,
382086800Y,昌平國小,65000050,新莊區,昌平里（8－21鄰）、昌信里（8－17鄰）,"一、昌明里（5－8、12、13、15、18鄰）、昌信里（4－6鄰）【昌平、昌隆國小自由學區】 二、昌平里（1－7鄰）【昌平、興化國小自由學區】 三、和平里15－     21鄰）【昌     平、昌隆國小     自由學區】","◎104學年度前(含104學年度)開放為新莊區全區自由學區。 ◎105學年度排除新莊、國泰、新泰、裕民、丹鳳、民安、豐年、光華及興化9校學區，不納入昌平國小自由學區範圍。 ◎106學年度排除中港、思賢、榮富、中信4校，不納入昌平國小自由學區範圍。 ◎107學年度排除昌隆、頭前國小學區，不再納入昌平國小自由學區範圍。 ◎有兄姊現就讀昌平國小且其弟妹欲隨兄姐就讀則不受上述限制。"
382083900Y,興化國小,65000050,新莊區,福基里（10－17鄰）、福興里,"一、昌平里（1－7鄰）【興化、昌平國小自由學區】 二、五股區興珍里（33－37鄰）【興化、五股區更寮國小自由學區】",
382078900Y,頭前國小,65000050,新莊區,化成里、頭前里、福基里（1－9鄰）,三重區中興里、頂崁里（即中興北街臨近本區化成路）【頭前、三重區興穀國小自由學區】,
382079000Y,國泰國小,65000050,新莊區,忠孝里（1－6、11、12、14、15、18、20、22、25、26鄰）、國泰里（10鄰）、海山里（19－24鄰）、福營里、營盤里,"一、泰山區貴賢里（9－14鄰）【國泰、泰山區明志國小自由學區】 二、泰山區義仁里（30－39鄰）【新泰、國泰、泰山區義學國小自由學區】","泰山區義仁里（30－39鄰）增列國泰國小為自由學區。 開放為新莊區全區自由學區。"
382085000Y,新泰國小,65000050,新莊區,立德里（9－17鄰）、全泰里、立言里、立泰里、忠孝里（7－10、13、16、17、19、21、23、24、27－29鄰）,"一、文聖里（1、18－29鄰）【新泰、新莊國小自由學區】 二、泰山區義仁里（30－39鄰）【新泰、國泰、泰山區義學國小自由學區】","有兄姐就讀國泰國小者，為便利家長接送，可選讀國泰國小。 紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。"
382084900Y,裕民國小,65000050,新莊區,四維里（16－18鄰）、裕民里、萬安里、龍安里、南港里、富國里,"一、龍鳳里、龍福里【裕民、丹鳳國小自由學區】。 二、富民里【裕民、民安、丹鳳國小自由學區】 三、四維里（19－22鄰）【裕民、光華國小自由學區】四、 三龍里16鄰【裕民、樹林區三多國小之自由學區】","◎ 111學年度起，三龍里16鄰調整為裕民國小與樹林區三多國小之自由學區。"
382082300Y,丹鳳國小,65000050,新莊區,丹鳳里、合鳳里、祥鳳里、雙鳳里,"一、龍鳳里、龍福里【丹鳳、裕民國小自由學區】 二、富民里【丹鳳、民安、裕民國小自由學區】 三、泰山區貴和里（33－38鄰）【丹鳳、泰山區明志國小國小自由學區】",
382079100Y,民安國小,65000050,新莊區,民安里（1－16、19－22鄰）、四維里（1－15鄰）、成德里（1－4、9－11鄰）、後港里、八德里、民有里（1、10－14、16、17鄰）、後德里、建福里、民全里、民本里、西盛里（1－5、19、22鄰）、建安里（1－32鄰）,"一、瓊林里（13－20鄰）、建安里（33、34鄰）【民安、豐年國小自由學區】 二、成德里（5－8、12－23鄰）、民有里（2－9、15、18－20鄰）、民安里（28、29鄰）【民安、光華國小自由學區】 三、富民里【民安、丹鳳、裕民國小自由學區】 ",紅色字體部份係因101年度進行鄰里調整，調整鄰數後，不影響原學區劃分。
